filename,chroma_stft_mean,rms_mean,spectral_centroid_mean,spectral_bandwidth_mean,rolloff_mean,zero_crossing_rate_mean,tempo,mfcc1_mean,mfcc2_mean,mfcc3_mean,mfcc4_mean,mfcc5_mean,mfcc6_mean,mfcc7_mean,mfcc8_mean,mfcc9_mean,mfcc10_mean,mfcc11_mean,mfcc12_mean,mfcc13_mean,mfcc14_mean,mfcc15_mean,mfcc16_mean,mfcc17_mean,mfcc18_mean,mfcc19_mean,mfcc20_mean,label
blues.00000.wav,0.35008812,0.130227923,1784.16585,2002.44906,3805.839606,0.083044821,123.046875,-113.5706482,121.5717926,-19.16814232,42.36642075,-6.364664078,18.62349892,-13.7048912,15.34315014,-12.27410984,10.97657204,-8.326573372,8.803792,-3.6723001,5.7479949,-5.162881851,0.752740204,-1.690214634,-0.408979177,-2.303522587,1.221290708,blues
blues.00001.wav,0.340913594,0.09594781,1530.176679,2039.036516,3550.522098,0.056039809,67.99958882,-207.5016937,123.9912643,8.955126762,35.8776474,2.907319784,21.51046562,-8.560436249,23.37068558,-10.09966087,11.90049744,-5.55563879,5.376327038,-2.231760263,4.220139503,-6.01214838,0.927997768,-0.73112458,0.295072943,-0.283518016,0.531216502,blues
blues.00002.wav,0.363637179,0.175570413,1552.811865,1747.702312,3042.260232,0.076291207,161.4990234,-90.72259521,140.4463043,-29.09388924,31.6843338,-13.98450375,25.7647419,-13.66487503,11.63993359,-11.78364277,9.71876049,-13.13380337,5.791199207,-8.907628059,-1.077000499,-9.229273796,2.451689959,-7.729092598,-1.816406965,-3.439720392,-2.231258392,blues
blues.00003.wav,0.404784709,0.141093001,1070.106615,1596.412872,2184.745799,0.033308863,63.02400915,-199.5442047,150.0908966,5.662678242,26.85907936,1.77139926,14.23403072,-4.832006454,9.286494255,-0.759186447,8.137606621,-3.200653315,6.079319,-2.480173826,-1.079305053,-2.870788574,0.780873835,-3.319596529,0.636965036,-0.619121194,-3.407448292,blues
blues.00004.wav,0.308526039,0.091528714,1835.004266,1748.172116,3579.757627,0.101460539,135.9991776,-160.3377075,126.219635,-35.58781052,22.14807129,-32.47859955,10.85229397,-23.35232925,0.498433769,-11.793437,1.20725584,-13.08841801,-2.813867331,-6.933385372,-7.552725315,-9.164666176,-4.520575523,-5.454033852,-0.916874111,-4.404827118,-11.70323372,blues
blues.00005.wav,0.30245629,0.103493638,1831.99394,1729.653287,3481.517592,0.094041534,69.83741554,-177.7742462,118.2054825,-17.56587982,30.76239777,-21.74784088,11.92099476,-20.73099518,3.186577797,-8.586038589,-0.932851493,-11.77243423,-2.405832529,-9.343665123,-9.936209679,-3.903994799,-5.576589108,-1.838262796,-2.783799887,-3.047909021,-8.109991074,blues
blues.00006.wav,0.291327983,0.141874149,1459.366472,1389.009131,2795.610963,0.073052237,71.77734375,-190.0523682,130.2890778,-36.36953354,33.02903366,11.10878277,-0.605583489,-20.87185478,0.273024768,-6.486139297,-5.516766548,-7.83975172,-3.128592491,-6.596197128,-9.950378418,-6.535177231,-10.06805134,-10.91317558,-6.971335888,-3.436504602,-6.483465672,blues
blues.00007.wav,0.307954788,0.131822184,1451.667066,1577.270941,2954.83676,0.061442246,92.28515625,-179.3471375,136.4690094,-26.67313766,39.98424149,5.304416656,10.92861176,-20.56482697,8.511157036,-11.35724926,-3.468345881,-8.419937134,-6.949715614,-3.539139509,-8.041617393,-8.96067524,-8.426082611,-10.56893539,-10.78451538,-4.690677643,-8.630722046,blues
blues.00008.wav,0.40887922,0.142416492,1719.368948,2031.740381,3782.316288,0.064024888,83.35433468,-121.363945,122.5066681,-14.73819637,46.13106537,-8.181879044,20.18296242,-19.17337799,23.03913879,-11.83822346,21.15999794,-6.718366146,6.992540836,-12.73059559,5.06132412,-5.183214664,-1.452559471,-7.041823864,2.695247889,3.412305355,-2.715692043,blues
blues.00009.wav,0.273950398,0.081313662,1817.150863,1973.773306,3943.490565,0.079174824,80.74951172,-213.2399902,115.1656036,-11.6934309,39.01427078,-20.34127808,13.07760525,-9.173518181,9.011446953,-14.10063362,4.265942097,-6.04616785,3.782206535,0.221799493,-5.109399319,-0.410230458,-1.179920077,-1.916804314,-2.292660713,2.881967068,-4.235202789,blues
blues.00010.wav,0.303993315,0.142865062,1409.955256,1512.310265,2765.900805,0.062958826,161.4990234,-173.7924957,137.1867065,-23.72404861,26.9784317,-16.65769577,4.180882454,-12.55992985,5.832184315,-2.874319077,-1.19741869,-1.954835176,1.801500678,-2.989647627,-1.866656542,-0.792742908,-3.015966654,-0.440053701,-1.994551659,-0.748470068,-4.991313457,blues
blues.00011.wav,0.367152065,0.06574069,1352.659665,1756.779795,2880.777863,0.043930585,161.4990234,-287.9237366,124.0187531,5.469891548,33.65740967,1.095497131,14.70533466,-4.877008438,8.670524597,0.78540498,6.579526901,-4.874973774,-3.178223848,-5.536157608,-6.784435749,-2.648156166,-2.994558811,-3.386818171,-1.852647424,1.839963078,-4.890803337,blues
blues.00012.wav,0.269391119,0.119046055,1360.641197,1567.565225,2738.638738,0.069095007,184.5703125,-207.2233124,132.8305511,-15.4288435,60.97092438,0.729872108,12.43764687,1.182799578,-1.546623349,-17.87943649,8.352728844,-2.458161592,-0.603385031,0.385960877,2.599546194,-5.179266453,-9.523479462,-9.242835045,-2.855027676,-1.427161813,-5.931977749,blues
blues.00013.wav,0.264712811,0.113169827,1324.293218,1828.039254,2710.2692,0.051401703,107.6660156,-209.8261566,124.4632187,10.34245396,47.01090622,6.508125305,15.41051769,-2.005107403,6.706564426,-21.55763245,10.71840668,-5.523688316,-2.199805498,-3.034864902,8.644536972,-0.303720623,-0.637948096,-2.938426256,-1.704516411,-1.768188953,-7.762180805,blues
blues.00014.wav,0.329036325,0.067054532,1171.848227,1705.519299,2344.246382,0.045036676,151.9990809,-305.6547241,113.0863419,12.11442757,45.03370285,17.76282501,14.57332897,4.159430027,0.213544786,-7.026994705,13.64199162,8.929174423,1.303005934,5.961250782,8.549221992,1.124606371,0.602693439,0.054863147,-3.722265482,-0.994969368,-1.800288796,blues
blues.00015.wav,0.269690424,0.080624022,1420.365165,1731.164281,2929.964495,0.063701255,99.38401442,-238.5155334,120.1101761,-4.229358673,42.29069519,5.928563118,13.9172678,5.357867718,1.895557284,-16.93667603,12.35062122,3.945979834,-1.393584847,0.019285234,3.588396549,-4.500910282,-5.540557861,-6.887469292,-4.823251724,1.747366786,-1.882196426,blues
blues.00016.wav,0.304185569,0.081471749,1454.963941,1825.79796,3009.460817,0.061344061,198.7680288,-233.7590942,120.6751404,-3.174806118,39.51847839,3.818336725,18.83714104,-3.677817345,4.433138371,-14.96552658,17.57821655,1.841871858,2.549421549,-1.233167887,8.43948555,-0.201898068,-3.894501448,-4.456850052,0.009553996,1.293030858,-2.098081112,blues
blues.00017.wav,0.302123994,0.09330608,1088.84423,1410.984259,2134.992942,0.048326249,172.265625,-245.6993713,140.4910889,-2.789754391,60.43143463,18.91905212,9.829608917,3.559146166,0.51537168,-16.38768196,6.627509594,7.259214401,-4.014427662,1.602120638,5.895009518,-3.021469593,-4.773668766,-3.03098917,-1.994087815,-0.046753637,-3.971227169,blues
blues.00018.wav,0.2699323,0.079706371,1537.587699,2054.529511,3495.515006,0.05614177,83.35433468,-252.4930115,104.9371109,15.33231258,42.6669693,6.783058167,21.60568237,-1.297840834,5.67540741,-16.63263512,12.17310333,-1.947284937,1.950844049,-0.890319288,7.770523548,2.380243063,1.775405765,1.325362206,3.609511614,4.907691002,-2.655459166,blues
